2025-05-22 17:03:28 status installed libaom3:amd64 3.6.0-1+deb12u1
2025-05-22 17:03:28 configure libabsl20220623:amd64 20220623.1-1+deb12u2 <none>
2025-05-22 17:03:28 status unpacked libabsl20220623:amd64 20220623.1-1+deb12u2
2025-05-22 17:03:28 status half-configured libabsl20220623:amd64 20220623.1-1+deb12u2
2025-05-22 17:03:28 status installed libabsl20220623:amd64 20220623.1-1+deb12u2
2025-05-22 17:03:28 configure libxau6:amd64 1:1.0.9-1 <none>
2025-05-22 17:03:28 status unpacked libxau6:amd64 1:1.0.9-1
2025-05-22 17:03:28 status half-configured libxau6:amd64 1:1.0.9-1
2025-05-22 17:03:28 status installed libxau6:amd64 1:1.0.9-1
2025-05-22 17:03:28 configure libkeyutils1:amd64 1.6.3-2 <none>
2025-05-22 17:03:28 status unpacked libkeyutils1:amd64 1.6.3-2
2025-05-22 17:03:28 status half-configured libkeyutils1:amd64 1.6.3-2
2025-05-22 17:03:28 status installed libkeyutils1:amd64 1.6.3-2
2025-05-22 17:03:28 configure libicu72:amd64 72.1-3 <none>
2025-05-22 17:03:28 status unpacked libicu72:amd64 72.1-3
2025-05-22 17:03:28 status half-configured libicu72:amd64 72.1-3
2025-05-22 17:03:28 status installed libicu72:amd64 72.1-3
2025-05-22 17:03:28 configure liblerc4:amd64 4.0.0+ds-2 <none>
2025-05-22 17:03:28 status unpacked liblerc4:amd64 4.0.0+ds-2
2025-05-22 17:03:28 status half-configured liblerc4:amd64 4.0.0+ds-2
2025-05-22 17:03:28 status installed liblerc4:amd64 4.0.0+ds-2
2025-05-22 17:03:28 configure manpages:all 6.03-2 <none>
2025-05-22 17:03:28 status unpacked manpages:all 6.03-2
2025-05-22 17:03:28 status half-configured manpages:all 6.03-2
2025-05-22 17:03:28 status installed manpages:all 6.03-2
2025-05-22 17:03:28 configure libtirpc-common:all 1.3.3+ds-1 <none>
2025-05-22 17:03:28 status unpacked libtirpc-common:all 1.3.3+ds-1
